nomor_tiket,id_pesawat,model_pesawat,jarak_tempuh_pesawat,kode_bandara,nama_bandara,kota_bandara,koordinat_bandara,zona_waktu_bandara,id_penerbangan,nomor_penerbangan,jadwal_keberangkatan,jadwal_kedatangan,bandara_keberangkatan,bandara_kedatangan,status_penerbangan,nomor_kursi,kelas_kursi,harga_tiket,kode_pemesanan,total_harga
0005435612620,773,Boeing 777-300,11100,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,5359,PG0225,2024-07-24 12:50:00+03,2024-07-24 14:35:00+03,SVO,SVX,Scheduled,1H,Business,"43,100.00",0AA07A,"125,000.00"
0005434067608,773,Boeing 777-300,11100,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,7772,PG0224,2024-08-03 17:05:00+03,2024-08-03 18:50:00+03,SVO,AER,Scheduled,2H,Business,"42,100.00",432B81,"82,900.00"
0005433126836,773,Boeing 777-300,11100,OVB,Tolmachevo Airport,Novosibirsk,"(82.6507034301759944,55.012599945067997)",Asia/Novosibirsk,9872,PG0223,2024-07-31 11:50:00+03,2024-07-31 15:15:00+03,OVB,DME,Scheduled,2C,Business,"83,700.00",280D39,"144,300.00"
0005435373149,773,Boeing 777-300,11100,OVB,Tolmachevo Airport,Novosibirsk,"(82.6507034301759944,55.012599945067997)",Asia/Novosibirsk,9932,PG0278,2024-07-31 14:20:00+03,2024-07-31 17:45:00+03,OVB,SVO,Scheduled,2G,Business,"84,000.00",2339EB,"187,600.00"
0005435423601,773,Boeing 777-300,11100,SVX,Koltsovo Airport,Yekaterinburg,"(60.8027000427250002,56.7430992126460012)",Asia/Yekaterinburg,10895,PG0226,2024-07-16 08:10:00+03,2024-07-16 09:55:00+03,SVX,SVO,Scheduled,3H,Business,"43,100.00",208392,"57,500.00"
0005434876997,773,Boeing 777-300,11100,PEE,Bolshoye Savino Airport,Perm,"(56.021198272705,57.9145011901860016)",Asia/Yekaterinburg,14584,PG0413,2024-07-28 18:55:00+03,2024-07-28 20:20:00+03,PEE,VKO,Scheduled,2K,Business,"35,000.00",E86B43,"136,500.00"
0005432159792,773,Boeing 777-300,11100,AER,Sochi International Airport,Sochi,"(39.9566001892089986,43.4499015808110016)",Europe/Moscow,30595,PG0013,2024-07-19 18:15:00+03,2024-07-19 20:00:00+03,AER,SVO,Scheduled,3G,Business,"42,100.00",CDE4DC,"82,900.00"
0005435212381,773,Boeing 777-300,11100,AER,Sochi International Airport,Sochi,"(39.9566001892089986,43.4499015808110016)",Europe/Moscow,30625,PG0013,2024-07-16 18:15:00+03,2024-07-16 20:00:00+03,AER,SVO,Scheduled,4H,Business,"42,100.00",86D03C,"84,100.00"
0005434878096,773,Boeing 777-300,11100,VKO,Vnukovo International Airport,Moscow,"(37.2615013122999983,55.5914993286000012)",Europe/Moscow,3480,PG0412,2024-07-31 11:00:00+03,2024-07-31 12:25:00+03,VKO,PEE,Scheduled,3A,Business,"35,000.00",C91621,"113,000.00"
0005434878760,773,Boeing 777-300,11100,VKO,Vnukovo International Airport,Moscow,"(37.2615013122999983,55.5914993286000012)",Europe/Moscow,3510,PG0412,2024-08-07 11:00:00+03,2024-08-07 12:25:00+03,VKO,PEE,Scheduled,3K,Business,"35,000.00",3F7E74,"79,900.00"
5433007840,319,Airbus A319-100,6700,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1185,PG0134,2024-09-10 09:50:00+03,2024-09-10 14:55:00+03,DME,BTK,Scheduled,2A,Business,"48,700.00",8E3479,"169,500.00"
5432949668,319,Airbus A319-100,6700,KZN,Kazan International Airport,Kazan,"(49.278701782227003,55.606201171875)",Europe/Moscow,11847,PG0498,2024-09-12 10:15:00+03,2024-09-12 14:55:00+03,KZN,IKT,Scheduled,3C,Business,"105,900.00",32403A,"244,100.00"
5435824293,319,Airbus A319-100,6700,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1274,PG0168,2024-07-21 20:05:00+03,2024-07-22 04:55:00+03,DME,UUS,Arrived,6C,Economy,"66,600.00",B00960,"133,200.00"
5435086861,319,Airbus A319-100,6700,VKO,Vnukovo International Airport,Moscow,"(37.2615013122999983,55.5914993286000012)",Europe/Moscow,4410,PG0064,2024-09-11 09:35:00+03,2024-09-11 15:25:00+03,VKO,UUD,Scheduled,16B,Economy,"7,500.00",76A3F1,"15,000.00"
5434758890,319,Airbus A319-100,6700,OVB,Tolmachevo Airport,Novosibirsk,"(82.6507034301759944,55.012599945067997)",Asia/Novosibirsk,10068,PG0186,2024-08-08 13:50:00+03,2024-08-08 16:00:00+03,OVB,PEE,Arrived,19E,Economy,"18,200.00",3C06C9,"167,400.00"
5435473005,319,Airbus A319-100,6700,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,6007,PG0703,2024-08-25 17:15:00+03,2024-08-26 02:00:00+03,SVO,UUS,Scheduled,4A,Business,"199,300.00",9455E4,"531,300.00"
5435283124,319,Airbus A319-100,6700,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,5571,PG0547,2024-09-06 10:25:00+03,2024-09-06 14:50:00+03,SVO,KJA,Scheduled,6B,Economy,"33,300.00",E76E2D,"133,200.00"
5435824486,319,Airbus A319-100,6700,UUS,Yuzhno-Sakhalinsk Airport,uzhno-Sakhalinsk,"(142.718002319335938,46.8886985778808594)",Asia/Sakhalin,18011,PG0169,2024-08-07 09:55:00+03,2024-08-07 18:45:00+03,UUS,DME,Arrived,5A,Business,"199,800.00",9EBA0E,"399,600.00"
0005432692619,319,Airbus A319-100,6700,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1162,PG0134,2024-07-19 09:50:00+03,2024-07-19 14:55:00+03,DME,BTK,Scheduled,1F,Business,"115,000.00",30AE25,"167,500.00"
0005435811137,319,Airbus A319-100,6700,VKO,Vnukovo International Airport,Moscow,"(37.2615013122999983,55.5914993286000012)",Europe/Moscow,4398,PG0064,2024-08-14 09:35:00+03,2024-08-14 15:25:00+03,VKO,UUD,Scheduled,6F,Economy,"44,400.00",8B9B9F,"177,600.00"
0005433845714,319,Airbus A319-100,6700,KJA,Yemelyanovo Airport,Krasnoyarsk,"(92.493301391602003,56.1729011535639984)",Asia/Krasnoyarsk,13857,PG0548,2024-07-27 08:40:00+03,2024-07-27 13:05:00+03,KJA,SVO,Scheduled,5F,Business,"99,800.00",45C1D2,"399,400.00"
0005432663022,319,Airbus A319-100,6700,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,6492,PG0255,2024-07-22 16:50:00+03,2024-07-23 01:00:00+03,SVO,DYR,Scheduled,6F,Economy,"61,800.00",E346A1,"296,700.00"
0005434877882,319,Airbus A319-100,6700,OVB,Tolmachevo Airport,Novosibirsk,"(82.6507034301759944,55.012599945067997)",Asia/Novosibirsk,10103,PG0186,2024-08-07 13:50:00+03,2024-08-07 16:00:00+03,OVB,PEE,Scheduled,1A,Business,"49,700.00",4539F7,"164,300.00"
0005434276006,319,Airbus A319-100,6700,LED,Pulkovo Airport,St. Petersburg,"(30.2625007629394531,59.8003005981445312)",Europe/Moscow,8820,PG0243,2024-08-03 20:55:00+03,2024-08-04 03:20:00+03,LED,YKS,Scheduled,21B,Economy,"48,400.00",FC535B,"96,800.00"
0005433527263,319,Airbus A319-100,6700,UFA,Ufa International Airport,Ufa,"(55.8744010925289984,54.5574989318850001)",Asia/Yekaterinburg,13811,PG0218,2024-08-02 10:10:00+03,2024-08-02 15:05:00+03,UFA,HTA,Scheduled,1A,Business,"111,600.00",FDED56,"270,200.00"
0005434878929,319,Airbus A319-100,6700,PEE,Bolshoye Savino Airport,Perm,"(56.021198272705,57.9145011901860016)",Asia/Yekaterinburg,14649,PG0187,2024-08-09 15:05:00+03,2024-08-09 17:15:00+03,PEE,OVB,Scheduled,1A,Business,"49,700.00",92C63C,"262,500.00"
0005433415450,319,Airbus A319-100,6700,UUS,Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk,"(142.718002319335938,46.8886985778808594)",Asia/Sakhalin,17990,PG0169,2024-07-20 09:55:00+03,2024-07-20 18:45:00+03,UUS,DME,Scheduled,6D,Economy,"66,600.00",65A6EA,"1,065,600.00"
0005432390072,319,Airbus A319-100,6700,ABA,Abakan Airport,Abakan,"(91.3850021362304688,53.7400016784667969)",Asia/Krasnoyarsk,18276,PG0520,2024-08-09 07:35:00+03,2024-08-09 12:00:00+03,ABA,DME,Scheduled,1A,Business,"101,000.00",DBB836,"404,100.00"
0005433568454,319,Airbus A319-100,6700,IKT,Irkutsk Airport,Irkutsk,"(104.388999938959998,52.2680015563960012)",Asia/Irkutsk,25318,PG0499,2024-08-02 13:10:00+03,2024-08-02 17:50:00+03,IKT,KZN,Scheduled,21F,Economy,"35,300.00",D529E7,"311,200.00"
0005432658560,319,Airbus A319-100,6700,KHV,Khabarovsk-Novy Airport,Khabarovsk,"(135.18800354004,48.5279998779300001)",Asia/Vladivostok,26491,PG0088,2024-08-05 03:20:00+03,2024-08-05 07:25:00+03,KHV,DYR,Scheduled,1A,Business,"92,200.00",6B3A9E,"238,300.00"
0005433614489,321,Airbus A321-200,5600,IKT,Irkutsk Airport,Irkutsk,"(104.388999938959998,52.2680015563960012)",Asia/Irkutsk,25267,PG0199,2024-08-07 04:35:00+03,2024-08-07 10:25:00+03,IKT,LED,Arrived,2A,Business,"132,900.00",5B4D7B,"289,800.00"
0005433613418,321,Airbus A321-200,5600,IKT,Irkutsk Airport,Irkutsk,"(104.388999938959998,52.2680015563960012)",Asia/Irkutsk,25263,PG0199,2024-07-23 04:35:00+03,2024-07-23 10:25:00+03,IKT,LED,Arrived,10D,Economy,"48,700.00",D681FA,"117,000.00"
0005432302368,321,Airbus A321-200,5600,ROV,Rostov-on-Don Airport,Rostov,"(39.8180999755999991,47.2582015990999977)",Europe/Moscow,12946,PG0214,2024-08-12 14:20:00+03,2024-08-12 15:35:00+03,ROV,DME,Arrived,3F,Business,"27,500.00",EB17CE,"27,500.00"
0005433568572,321,Airbus A321-200,5600,KZN,Kazan International Airport,Kazan,"(49.278701782227003,55.606201171875)",Europe/Moscow,11618,PG0203,2024-08-05 17:45:00+03,2024-08-05 18:40:00+03,KZN,DME,Arrived,1A,Business,"21,500.00",EB082F,"99,300.00"
0005433634417,321,Airbus A321-200,5600,LED,Pulkovo Airport,St. Petersburg,"(30.2625007629394531,59.8003005981445312)",Europe/Moscow,9323,PG0198,2024-08-20 09:10:00+03,2024-08-20 15:00:00+03,LED,IKT,Scheduled,31C,Economy,"44,300.00",B203CF,"101,200.00"
0005433613905,321,Airbus A321-200,5600,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,5177,PG0470,2024-07-22 10:20:00+03,2024-07-22 11:10:00+03,SVO,LED,Arrived,1F,Business,"18,000.00",7F150C,"301,800.00"
0005432424489,321,Airbus A321-200,5600,ROV,Rostov-on-Don Airport,Rostov,"(39.8180999755999991,47.2582015990999977)",Europe/Moscow,12888,PG0215,2024-08-13 18:15:00+03,2024-08-13 19:30:00+03,ROV,DME,Arrived,8B,Economy,"10,100.00",CADCD4,"46,000.00"
0005432948941,321,Airbus A321-200,5600,KZN,Kazan International Airport,Kazan,"(49.278701782227003,55.606201171875)",Europe/Moscow,11562,PG0203,2024-08-14 17:45:00+03,2024-08-14 18:40:00+03,KZN,DME,Arrived,7D,Business,"21,500.00",B314EE,"113,600.00"
0005434604852,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,2317,PG0605,2024-09-10 18:40:00+03,2024-09-10 19:35:00+03,DME,ULV,Scheduled,18C,Economy,"6,600.00",7AC584,"105,600.00"
0005435681967,SU9,Sukhoi Superjet-100,3000,TJM,Roshchino International Airport,Tyumen,"(65.3243026732999965,57.1896018981999958)",Asia/Yekaterinburg,24616,PG0302,2024-08-10 10:55:00+03,2024-08-10 13:10:00+03,TJM,SVO,Arrived,20C,Economy,"17,000.00",D9102B,"34,000.00"
0005433496710,SU9,Sukhoi Superjet-100,3000,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,6238,PG0178,2024-07-25 14:45:00+03,2024-07-25 15:15:00+03,SVO,GOJ,Arrived,2C,Business,"11,900.00",971595,"31,800.00"
0005434138639,SU9,Sukhoi Superjet-100,3000,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,7317,PG0637,2024-08-08 14:05:00+03,2024-08-08 15:05:00+03,SVO,KVX,Arrived,1D,Business,"23,100.00",B25D58,"65,500.00"
0005434757231,SU9,Sukhoi Superjet-100,3000,LED,Pulkovo Airport,St. Petersburg,"(30.2625007629394531,59.8003005981445312)",Europe/Moscow,9540,PG0285,2024-08-21 10:50:00+03,2024-08-21 12:20:00+03,LED,KVX,Scheduled,17C,Economy,"10,900.00",1D1022,"125,200.00"
0005435661907,SU9,Sukhoi Superjet-100,3000,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,6735,PG0301,2024-07-26 13:40:00+03,2024-07-26 15:55:00+03,SVO,TJM,Arrived,4A,Economy,"17,000.00",382095,"146,000.00"
0005434926788,SU9,Sukhoi Superjet-100,3000,PEE,Bolshoye Savino Airport,Perm,"(56.021198272705,57.9145011901860016)",Asia/Yekaterinburg,14912,PG0697,2024-09-07 15:35:00+03,2024-09-07 16:35:00+03,PEE,GOJ,Scheduled,1C,Business,"22,900.00",8E3C77,"70,000.00"
0005434925888,SU9,Sukhoi Superjet-100,3000,GOJ,Nizhny Novgorod Strigino International Airport,Nizhniy Novgorod,"(43.7840003967289988,56.2300987243649999)",Europe/Moscow,20500,PG0698,2024-08-06 16:35:00+03,2024-08-06 17:35:00+03,GOJ,PEE,Arrived,20E,Economy,"7,600.00",E74CBC,"38,500.00"
0005433367355,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,2485,PG0482,2017-07-16 09:20:00+03,2017-07-16 13:20:00+03,DME,KEJ,Arrived,2F,Business,"9,800.00",7478D0,"86,500.00"
0005432222699,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,2767,PG0196,2017-07-18 12:10:00+03,2017-07-18 13:40:00+03,DME,KGD,Arrived,5A,Economy,"11,000.00",42B8F6,"22,000.00"
0005435797506,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,2829,PG0454,2017-08-04 10:05:00+03,2017-08-04 10:40:00+03,DME,URS,Arrived,10F,Economy,"4,600.00",C9860E,"17,600.00"
0005433007987,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,2835,PG0454,2017-07-21 10:05:00+03,2017-07-21 10:40:00+03,DME,URS,Arrived,19F,Economy,"17,400.00",574BE7,"269,000.00"
0005434186233,SU9,Sukhoi Superjet-100,3000,CSY,Cheboksary Airport,Cheboksary,"(47.3473014831542969,56.090301513671875)",Europe/Moscow,28980,PG0489,2017-08-14 09:50:00+03,2017-08-14 11:15:00+03,CSY,LED,Arrived,14E,Economy,"10,900.00",9BFFC8,"28,000.00"
0005435041531,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,2957,PG0384,2017-07-21 12:10:00+03,2017-07-21 12:40:00+03,DME,BZK,Arrived,1C,Business,"29,500.00",401DEF,"78,500.00"
0005432211372,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1656,PG0095,2017-07-31 10:45:00+03,2017-07-31 13:00:00+03,DME,URJ,Arrived,4A,Economy,"14,000.00",AC6554,"28,000.00"
0005435212385,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1694,PG0095,2017-08-11 10:45:00+03,2017-08-11 13:00:00+03,DME,URJ,Arrived,5C,Economy,"15,400.00",355320,"57,400.00"
0005435212343,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1738,PG0239,2017-07-19 09:05:00+03,2017-07-19 11:40:00+03,DME,HMA,Arrived,7C,Economy,"14,000.00",781391,"37,900.00"
0005435212345,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1797,PG0542,2017-07-17 13:35:00+03,2017-07-17 15:45:00+03,DME,OVS,Arrived,10A,Economy,"14,000.00",9FE700,"28,000.00"
0005433367233,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1827,PG0542,2017-07-24 13:35:00+03,2017-07-24 15:45:00+03,DME,OVS,Arrived,18F,Economy,"3,300.00",1B7609,"41,600.00"
0005434275928,SU9,Sukhoi Superjet-100,3000,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1832,PG0541,2017-08-15 11:15:00+03,2017-08-15 13:25:00+03,DME,OVS,Arrived,2A,Business,"145,300.00",AB4170,"193,700.00"
0005434979761,CR2,Bombardier CRJ-200,2700,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,2016,PG0019,2024-08-01 18:10:00+03,2024-08-01 19:30:00+03,DME,UUA,Arrived,3A,Economy,"9,500.00",D4BCFD,"26,200.00"
0005433869161,CR2,Bombardier CRJ-200,2700,VKO,Vnukovo International Airport,Moscow,"(37.2615013122999983,55.5914993286000012)",Europe/Moscow,4799,PG0669,2024-08-20 16:15:00+03,2024-08-20 18:45:00+03,VKO,KRO,Scheduled,20A,Economy,"17,600.00",F6617E,"209,800.00"
0005434983268,CR2,Bombardier CRJ-200,2700,LED,Pulkovo Airport,St. Petersburg,"(30.2625007629394531,59.8003005981445312)",Europe/Moscow,9493,PG0360,2024-07-30 09:00:00+03,2024-07-30 11:35:00+03,LED,REN,Arrived,22A,Economy,"17,900.00",A9ED56,"35,800.00"
0005434142550,CR2,Bombardier CRJ-200,2700,KZN,Kazan International Airport,Kazan,"(49.278701782227003,55.606201171875)",Europe/Moscow,12015,PG0621,2024-07-23 16:05:00+03,2024-07-23 17:00:00+03,KZN,MQF,Arrived,22C,Economy,"6,600.00",6E2D94,"21,200.00"
0005433255064,CR2,Bombardier CRJ-200,2700,PES,Petrozavodsk Airport,Petrozavodsk,"(34.1547012329101562,61.8852005004882812)",Europe/Moscow,16211,PG0342,2024-07-23 19:25:00+03,2024-07-23 20:30:00+03,PES,DME,Arrived,2B,Economy,"8,300.00",3EADE7,"31,600.00"
0005432146179,CR2,Bombardier CRJ-200,2700,MJZ,Mirny Airport,Mirnyj,"(114.03900146484375,62.534698486328125)",Asia/Yakutsk,19859,PG0555,2024-07-24 09:30:00+03,2024-07-24 11:20:00+03,MJZ,IKT,Arrived,1A,Economy,"12,800.00",A5AB1E,"108,600.00"
0005434979499,CR2,Bombardier CRJ-200,2700,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,2065,PG0019,2024-07-24 18:10:00+03,2024-07-24 19:30:00+03,DME,UUA,Arrived,23B,Economy,"10,500.00",7546FF,"27,600.00"
0005433539015,CR2,Bombardier CRJ-200,2700,IJK,Izhevsk Airport,Izhevsk,"(53.4575004577636719,56.8280982971191406)",Europe/Samara,25038,PG0044,2024-08-29 08:20:00+03,2024-08-29 09:45:00+03,IJK,SVO,Scheduled,7D,Economy,"9,900.00",7A076F,"39,600.00"
0005435697503,763,Boeing 763-300,7900,VKO,Vnukovo International Airport,Moscow,"(37.2615013122999983,55.5914993286000012)",Europe/Moscow,4739,PG0561,2024-09-05 12:30:00+03,2024-09-05 14:15:00+03,VKO,AER,Scheduled,22B,Economy,"19,900.00",7472DA,"103,000.00"
0005435617202,763,Boeing 763-300,7900,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,5502,PG0529,2024-09-12 09:50:00+03,2024-09-12 11:20:00+03,SVO,UFA,Scheduled,,Economy,"11,800.00",86A010,"53,500.00"
0005433059063,763,Boeing 763-300,7900,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,428,PG0216,2024-09-11 14:10:00+03,2024-09-11 15:15:00+03,DME,KUF,Scheduled,1C,Business,"24,500.00",718C91,"65,400.00"
0005433058920,763,Boeing 763-300,7900,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,431,PG0216,2024-09-04 14:10:00+03,2024-09-04 15:15:00+03,DME,KUF,Scheduled,9A,Economy,"8,200.00",6F7F93,"82,700.00"
0005433460456,763,Boeing 763-300,7900,GDX,Sokol Airport,Magadan,"(150.720001220703125,59.9109992980957031)",Asia/Magadan,19907,PG0706,2024-08-22 07:30:00+03,2024-08-22 13:55:00+03,GDX,SCW,Scheduled,1H,Business,"146,400.00",36CCA0,"396,200.00"
0005435269830,763,Boeing 763-300,7900,LED,Pulkovo Airport,St. Petersburg,"(30.2625007629394531,59.8003005981445312)",Europe/Moscow,9330,PG0356,2024-08-23 19:10:00+03,2024-08-24 03:15:00+03,LED,KHV,Scheduled,31B,Economy,"62,100.00",4F83F2,"296,400.00"
0005435463294,763,Boeing 763-300,7900,UFA,Ufa International Airport,Ufa,"(55.8744010925289984,54.5574989318850001)",Asia/Yekaterinburg,13442,PG0530,2024-08-24 10:30:00+03,2024-08-24 12:00:00+03,UFA,SVO,Scheduled,1A,Business,"35,300.00",9F8A02,"70,700.00"
0005433059042,763,Boeing 763-300,7900,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,446,PG0216,2024-09-07 14:10:00+03,2024-09-07 15:15:00+03,DME,KUF,Scheduled,31F,Economy,"8,200.00",A9202B,"16,400.00"
0005432568493,763,Boeing 763-300,7900,AER,Sochi International Airport,Sochi,"(39.9566001892089986,43.4499015808110016)",Europe/Moscow,30515,PG0562,2024-08-21 17:00:00+03,2024-08-21 18:45:00+03,AER,VKO,Scheduled,5H,Business,"40,900.00",9A06C6,"81,700.00"
0005434082631,763,Boeing 763-300,7900,AER,Sochi International Airport,Sochi,"(39.9566001892089986,43.4499015808110016)",Europe/Moscow,30518,PG0562,2024-09-11 17:00:00+03,2024-09-11 18:45:00+03,AER,VKO,Scheduled,12A,Economy,"13,600.00",EFB431,"109,400.00"
0005433345063,763,Boeing 763-300,7900,SCW,Syktyvkar Airport,Syktyvkar,"(50.8451004028320312,61.6469993591308594)",Europe/Moscow,17020,PG0518,2017-08-22 15:30:00+03,2017-08-22 16:50:00+03,SCW,DME,Scheduled,3A,Business,"30,600.00",B8C8E7,"108,500.00"
0005433345119,763,Boeing 763-300,7900,SCW,Syktyvkar Airport,Syktyvkar,"(50.8451004028320312,61.6469993591308594)",Europe/Moscow,17020,PG0518,2017-08-22 15:30:00+03,2017-08-22 16:50:00+03,SCW,DME,Scheduled,38H,Economy,"11,200.00",05F26C,"74,100.00"
0005433151322,733,Boeing 737-300,4200,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,1482,PG0210,2024-08-07 18:00:00+03,2024-08-07 19:50:00+03,DME,MRV,Scheduled,1A,Business,"38,900.00",4FB325,"77,900.00"
0005434407846,733,Boeing 737-300,4200,MCX,Uytash Airport,Makhachkala,"(47.6523017883300781,42.8167991638183594)",Europe/Moscow,26893,PG0678,2024-08-10 14:30:00+03,2024-08-10 16:45:00+03,MCX,SVO,Scheduled,9D,Economy,"16,400.00",FC0BC8,"130,400.00"
